timestamp,x,y,z
1563815731074699,0.375,-0.0336914,0.832031
1563815731095685,0.376953,-0.0356445,0.834473
1563815731112677,0.379883,-0.034668,0.836914
1563815731132686,0.375488,-0.03125,0.83252
1563815731154661,0.378418,-0.0356445,0.837891
1563815731172646,0.376465,-0.0385742,0.835449
1563815731192637,0.377441,-0.0395508,0.836914
1563815731214650,0.374512,-0.0385742,0.842285
1563815731239604,0.369629,-0.0400391,0.833496
1563815731253597,0.373535,-0.0405273,0.838379
1563815731274584,0.367676,-0.0473633,0.843262
1563815731292574,0.385742,-0.050293,0.839844
1563815731313559,0.365723,-0.050293,0.853027
1563815731334548,0.365723,-0.0556641,0.858398
1563815731352537,0.359863,-0.0922852,0.897949
1563815731373525,0.350098,-0.174316,0.955566
1563815731394574,0.319824,-0.240234,1.01758
1563815731412505,0.284668,-0.266113,1.04492
1563815731433492,0.261719,-0.231445,1.0542
1563815731454481,0.27832,-0.192383,1.06738
1563815731472470,0.280273,-0.199707,1.11279
1563815731493457,0.265625,-0.254883,1.15039
1563815731514446,0.244141,-0.301758,1.18896
1563815731532435,0.185059,-0.311035,1.20801
1563815731553445,0.148926,-0.275879,1.23779
1563815731574447,0.144043,-0.23877,1.21143
1563815731592399,0.108887,-0.22998,1.18213
1563815731615390,0.0761719,-0.234375,1.16699
1563815731634417,0.034668,-0.250488,1.14795
1563815731652375,-0.0112305,-0.256348,1.10986
1563815731682350,-0.0219727,-0.240723,1.07422
1563815731694350,-0.0390625,-0.245605,1.02881
1563815731712331,-0.0561523,-0.229004,0.960449
1563815731735351,-0.0854492,-0.231934,0.898438
1563815731754340,-0.130859,-0.251953,0.844727
1563815731772304,-0.178711,-0.262207,0.782715
1563815731795285,-0.228516,-0.26709,0.732422
1563815731814274,-0.25,-0.293457,0.671875
1563815731832272,-0.300293,-0.318359,0.638184
1563815731855254,-0.341309,-0.350098,0.594727
1563815731874241,-0.368652,-0.365234,0.549316
1563815731892241,-0.407227,-0.377441,0.508789
1563815731915216,-0.428223,-0.388184,0.472168
1563815731934204,-0.459961,-0.407715,0.44873
1563815731957190,-0.500488,-0.429688,0.410156
1563815731975180,-0.536133,-0.430664,0.388672
1563815731995169,-0.546875,-0.45459,0.37207
1563815732012160,-0.567383,-0.475586,0.344238
1563815732034146,-0.586914,-0.49707,0.333496
1563815732055156,-0.605957,-0.507324,0.319336
1563815732072125,-0.62207,-0.509766,0.302734
1563815732094112,-0.64502,-0.519531,0.293457
1563815732123095,-0.666992,-0.537109,0.294434
1563815732139086,-0.692383,-0.558594,0.312988
1563815732155084,-0.706543,-0.578613,0.31543
1563815732183061,-0.729004,-0.604004,0.323242
1563815732192062,-0.760742,-0.619141,0.334473
1563815732214045,-0.765137,-0.632324,0.34375
1563815732237031,-0.758789,-0.626953,0.357422
1563815732254043,-0.749023,-0.61377,0.356445
1563815732274012,-0.740234,-0.61377,0.359375
1563815732295019,-0.736816,-0.623535,0.348633
1563815732310988,-0.737305,-0.619141,0.339355
1563815732333975,-0.737793,-0.623047,0.325684
1563815732354975,-0.731445,-0.617188,0.305664
1563815732371962,-0.731445,-0.625488,0.286621
1563815732401956,-0.740723,-0.621094,0.279297
1563815732416927,-0.740723,-0.626953,0.261719
1563815732430921,-0.729004,-0.646484,0.251465
1563815732461920,-0.722656,-0.661621,0.230469
1563815732474901,-0.723633,-0.655762,0.223633
1563815732490883,-0.741699,-0.650391,0.225098
1563815732513871,-0.749023,-0.663086,0.228516
1563815732536859,-0.754883,-0.683105,0.232422
1563815732550849,-0.765137,-0.722168,0.231934
1563815732573837,-0.796875,-0.745117,0.233398
1563815732597825,-0.841309,-0.749023,0.244141
1563815732610815,-0.854492,-0.749023,0.248047
1563815732633802,-0.845215,-0.765137,0.263672
1563815732656789,-0.868652,-0.810059,0.275391
1563815732678790,-0.901855,-0.851074,0.294922
1563815732701764,-0.864746,-0.854004,0.29541
1563815732716758,-0.808594,-0.818848,0.284668
1563815732730747,-0.784668,-0.813477,0.260742
1563815732754739,-0.713867,-0.836426,0.230469
1563815732776720,-0.609375,-0.881836,0.198242
1563815732797712,-0.562988,-0.864258,0.182129
1563815732814703,-0.577637,-0.844727,0.14502
1563815732844681,-0.604492,-0.829102,0.100098
1563815732866698,-0.629883,-0.754883,0.0952148
1563815732883659,-0.69873,-0.658203,0.0849609
1563815732896651,-0.737305,-0.583984,0.059082
1563815732917639,-0.75293,-0.536621,0.0219727
1563815732934630,-0.762695,-0.467285,-0.012207
1563815732957624,-0.781738,-0.38916,-0.0429688
1563815732977635,-0.816406,-0.324219,-0.0961914
1563815732994597,-0.819824,-0.281738,-0.118652
1563815733017584,-0.836426,-0.26123,-0.138672
1563815733037578,-0.84082,-0.250977,-0.164063
1563815733054563,-0.841309,-0.222656,-0.170898
1563815733076550,-0.865234,-0.201172,-0.1875
1563815733099537,-0.913574,-0.17627,-0.225098
1563815733121524,-0.922363,-0.160156,-0.273926
1563815733136517,-0.928711,-0.136719,-0.293945
1563815733157511,-0.931641,-0.13623,-0.319336
1563815733187487,-0.933105,-0.143066,-0.331055
1563815733196481,-0.934082,-0.144043,-0.364746
1563815733217490,-0.961914,-0.135254,-0.398926
1563815733234457,-0.95459,-0.12207,-0.429688
1563815733256445,-0.913086,-0.130859,-0.442871
1563815733277433,-0.90625,-0.158203,-0.407715
1563815733294423,-0.950195,-0.177734,-0.398438
